1564958910.916807, 28, -9
1564958921.457636, 990, -9
1564958938.989451, 2148, -9
1564958952.022645, 3119, -10
1564958969.394248, 4072, -8
1564958978.659487, 4853, -10
1564958988.689468, 5698, -10
1564958997.326393, 6414, -10
1564959009.307378, 7513, -10
1564959026.810628, 9227, -8
1564959040.905966, 10563, -8
1564959050.782577, 11405, -10
1564959060.615311, 12244, -9
1564959072.182409, 13271, -9
1564959086.008456, 14615, -9
1564959094.859795, 15331, -10
1564959103.445869, 16047, -10
1564959113.057176, 16889, -10
1564959123.664821, 17787, -9
1564959137.745267, 19143, -10
1564959147.400478, 19985, -10
1564959158.746149, 20939, -8
1564959169.367783, 21841, -9
1564959179.003129, 22683, -10
1564959186.94798, 23273, -10
1564959196.410685, 24044, -9
1564959208.651978, 25067, -9
1564959218.004006, 25848, -10
1564959226.847285, 26564, -10
1564959235.933021, 27280, -10
1564959243.685338, 27870, -10
1564959254.334854, 28767, -9
1564959267.081757, 29848, -8
1564959276.65722, 30619, -9
1564959285.807773, 31335, -10
1564959297.059746, 32289, -8
1564959311.003651, 33568, -9
1564959322.003253, 34533, -9
1564959333.410801, 35499, -9
1564959342.240176, 36217, -10
1564959349.94261, 36807, -10
1564959359.996932, 37649, -10
1564959372.299141, 38729, -8
1564959380.206212, 39319, -10
1564959390.76399, 40217, -9
1564959400.88396, 41059, -10
1564959409.160832, 41714, -10
1564959416.944042, 42304, -10
1564959426.669011, 43075, -9
1564959437.297662, 43976, -9
1564959447.138356, 44819, -10
1564959461.295512, 46089, -8
1564959469.094664, 46679, -10
1564959476.994586, 47269, -10
1564959488.746193, 48286, -8
1564959503.513089, 49621, -8
1564959512.935907, 50392, -9
1564959524.042219, 51366, -10
1564959535.601342, 52393, -9
1564959545.444009, 53164, -9
1564959553.218228, 53754, -10
1564959562.054607, 54473, -10
1564959574.967117, 55632, -9
1564959584.226362, 56413, -10
1564959597.107134, 57564, -9
1564959608.379084, 58519, -8
1564959616.928308, 59174, -10
1564959628.770642, 60269, -10
1564959639.601791, 61166, -9
1564959650.258429, 62069, -9
1564959663.671882, 63287, -9
1564959671.430163, 63877, -10
1564959679.2273, 64467, -10
1564959691.546533, 65559, -9
1564959706.571369, 66963, -8
1564959715.776762, 67681, -10
1564959725.516784, 68528, -10
1564959735.694818, 69374, -10
1564959743.980691, 70029, -10
1564959754.854649, 70999, -10
1564959763.056702, 71589, -10
1564959771.978888, 72307, -10
1564959782.682241, 73215, -10
1564959790.440502, 73805, -10
1564959798.278577, 74395, -10
1564959808.664973, 75234, -9
1564959817.356803, 75950, -10
1564959828.330469, 76922, -10
1564959836.526806, 77512, -10
1564959844.316033, 78102, -10
1564959856.027765, 79136, -10
1564959863.891823, 79726, -10
1564959871.761808, 80316, -10
1564959879.557087, 80906, -10
1564959888.832292, 81624, -10
1564959898.275051, 82405, -10
1564959907.483435, 83121, -10
1564959916.24414, 83837, -10
1564959926.119754, 84679, -10
1564959934.188351, 85269, -10
1564959942.018473, 85859, -10
1564959949.845566, 86449, -10
1564959958.096851, 87039, -10
1564959966.936312, 87755, -10
1564959974.81329, 88345, -10
1564959982.699237, 88935, -10
1564959990.887349, 89525, -10
1564960004.067091, 90751, -10
1564960012.219299, 91341, -10
1564960021.890446, 92113, -9
1564960030.846506, 92829, -10
1564960039.071749, 93419, -10
1564960049.044091, 94263, -10
1564960057.990199, 94982, -10
1564960069.747981, 96016, -10
1564960079.386299, 96788, -9
1564960087.465947, 97378, -10
1564960096.410038, 98095, -10
1564960105.32421, 98812, -10
1564960114.632906, 99529, -10
1564960123.554058, 100248, -10
1564960131.380138, 100838, -10
1564960140.538725, 101554, -10
1564960151.558269, 102525, -10
1564960163.624052, 103549, -9
1564960172.560187, 104266, -10
1564960184.602972, 105291, -9
1564960192.655479, 105881, -10
1564960203.724943, 106852, -10
1564960212.824928, 107570, -10
1564960221.720127, 108286, -10
1564960232.00165, 109129, -10
1564960240.988627, 109845, -10
1564960248.910478, 110435, -10
1564960258.120831, 111152, -10
1564960265.935964, 111742, -10
1564960273.816943, 112332, -10
1564960283.081348, 113051, -10
1564960292.028535, 113768, -10
1564960300.907812, 114484, -10
1564960311.112761, 115330, -10
1564960319.955316, 116046, -10
1564960330.698568, 116944, -9
1564960340.434544, 117727, -10
1564960350.203429, 118501, -9
1564960368.991207, 120283, -8
1564960377.959245, 120999, -10
1564960386.156323, 121589, -10
1564960396.18552, 122431, -10
1564960404.361813, 123021, -10
1564960412.200958, 123611, -10
1564960428.540372, 125146, -9
1564960441.773012, 126370, -10
1564960456.624601, 127711, -9
1564960467.674142, 128683, -10
1564960480.100084, 129779, -10
1564960488.041872, 130369, -10
1564960499.963224, 131402, -10
1564960512.070887, 132496, -10
1564960523.360754, 133464, -10
1564960538.415608, 134866, -9
1564960547.690242, 135582, -10
1564960562.362023, 136915, -8
1564960573.284062, 137826, -10
1564960584.361553, 138797, -10
1564960600.47278, 140335, -10
1564960610.811271, 141179, -10
1564960623.039606, 142276, -10
1564960638.300073, 143612, -8
1564960652.504331, 144958, -10
1564960667.146228, 146306, -10
1564960676.42865, 147024, -10
1564960686.482848, 147869, -10
1564960701.081214, 149217, -10
1564960714.37069, 150440, -10
1564960724.916721, 151282, -10
1564960737.118104, 152376, -10
1564960748.453011, 153344, -10
1564960757.448963, 154060, -10
1564960767.234804, 154834, -9
1564960781.762165, 156180, -10
1564960789.661049, 156770, -10
1564960798.896391, 157487, -10
1564960808.446879, 158268, -10
1564960826.111989, 159925, -9
1564960842.566213, 161457, -9
1564960861.107804, 163245, -9
1564960875.380658, 164592, -10
1564960885.404862, 165366, -9
1564960899.793399, 166713, -10
1564960910.973514, 167616, -9
1564960926.871724, 169094, -10
1564960937.627047, 169992, -9
1564960952.769582, 171406, -10
1564960964.626908, 172432, -9
1564960973.91724, 173149, -10
1564960989.290159, 174622, -10
1564961004.623438, 176024, -9
1564961012.597124, 176614, -10
1564961025.054011, 177708, -10
1564961042.288962, 179229, -7
1564961051.292893, 179945, -10
1564961059.244637, 180535, -10
1564961073.283324, 181746, -8
1564961087.731701, 183032, -9
1564961098.950711, 184005, -10
1564961107.999566, 184721, -10
1564961126.472356, 186443, -8
1564961134.91294, 187033, -10
1564961150.946082, 188501, -8
1564961161.361694, 189344, -10
1564961177.968324, 190944, -10
1564961189.539425, 191915, -10
1564961202.881823, 193072, -9
1564961214.150728, 194046, -10
1564961227.355745, 195200, -9
1564961241.429207, 196478, -9
1564961261.631694, 198387, -9
1564961279.365384, 200047, -9
1564961298.892168, 201886, -8
1564961313.276937, 203164, -9
1564961324.722383, 204128, -9
1564961336.29573, 205100, -10
1564961352.381731, 206561, -8
1564961360.668579, 207151, -10
1564961371.141583, 207996, -10
1564961382.082336, 208896, -9
1564961398.221195, 210367, -9
1564961407.630421, 211086, -10
1564961418.928244, 212055, -10
1564961430.532358, 213029, -10
1564961444.780297, 214310, -9
1564961455.956488, 215209, -9
1564961472.23996, 216749, -10
1564961480.583656, 217339, -10
1564961490.805332, 218182, -10
1564961502.448393, 219082, -9
1564961517.673778, 220485, -9
1564961537.069201, 222068, -7
1564961550.560333, 223230, -10
1564961567.133057, 224765, -9
1564961587.972368, 226727, -8
1564961600.716335, 227823, -10
1564961617.022915, 229305, -10
